ssn,age,education,marital-status,relationship,sex,income
723-72-3723,24.0,HS-grad,Never-married,Own-child,Female,
940-94-0940,38.0,12th,Divorced,Unmarried,,<=50K
545-54-5545,19.0,,Never-married,Own-child,Male,
013-01-3013,25.0,Preschool,Never-married,Own-child,,
039-03-9039,52.0,Some-college,Divorced,Not-in-family,,<=50K
157-15-7157,70.0,Bachelors,Never-married,Unmarried,Female,<=50K
083-08-3083,31.0,HS-grad,,Not-in-family,Female,
768-76-8768,,,,,Male,
222-22-2222,40.0,Assoc-acdm,Divorced,,,<=50K
725-72-5725,77.0,Masters,Widowed,Not-in-family,Female,
111-11-1111,37.0,,Widowed,,,
460-46-0460,46.0,Masters,Never-married,Own-child,Male,
996-99-6996,19.0,,Never-married,Own-child,,<=50K
660-66-0660,,Prof-school,Married-civ-spouse,,,
585-58-5585,29.0,,Married-civ-spouse,Husband,,<=50K
733-73-3733,78.0,Bachelors,Married-AF-spouse,Husband,Female,
283-28-3283,56.0,,Married-civ-spouse,Husband,,<=50K
427-42-7427,54.0,,Married-civ-spouse,,Male,<=50K
478-47-8478,60.0,,Separated,Wife,,
869-86-9869,46.0,Some-college,Married-civ-spouse,,,<=50K
286-28-6286,24.0,Some-college,,,,
773-77-3773,60.0,HS-grad,Married-civ-spouse,,Male,
238-23-8238,40.0,Bachelors,Separated,Not-in-family,,
657-65-7657,38.0,Assoc-voc,,,Male,
631-63-1631,35.0,HS-grad,Married-civ-spouse,Husband,,
959-95-9959,19.0,Some-college,Never-married,Own-child,,<=50K
548-54-8548,33.0,HS-grad,Married-civ-spouse,Husband,,
710-71-0710,25.0,HS-grad,Never-married,,Male,
626-62-6626,,HS-grad,,Own-child,Male,<=50K
535-53-5535,40.0,Some-college,Divorced,Not-in-family,Female,<=50K
615-61-5615,30.0,,,Husband,Male,>50K
814-81-4814,31.0,,,Wife,Female,<=50K
892-89-2892,,Bachelors,Never-married,Not-in-family,,
577-57-7577,24.0,Some-college,Never-married,Own-child,Male,<=50K
482-48-2482,37.0,Some-college,Married-civ-spouse,Husband,Male,
693-69-3693,20.0,,Never-married,Own-child,Female,
447-44-7447,18.0,12th,,Own-child,Male,>50K
291-29-1291,71.0,Bachelors,Widowed,Own-child,,<=50K
325-32-5325,34.0,,Divorced,,,<=50K
091-09-1091,28.0,Some-college,Separated,Unmarried,Female,
547-54-7547,49.0,Bachelors,Divorced,Not-in-family,,>50K
896-89-6896,,Some-college,,Not-in-family,Male,
888-88-8888,37.0,5th-6th,Never-married,Unmarried,,
070-07-0070,64.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
058-05-8058,30.0,Some-college,,Unmarried,Female,<=50K
278-27-8278,54.0,HS-grad,Divorced,Unmarried,,
506-50-6506,44.0,Bachelors,Married-civ-spouse,Husband,,>50K
367-36-7367,46.0,Assoc-voc,,Husband,Male,<=50K
247-24-7247,29.0,HS-grad,Separated,Not-in-family,,
562-56-2562,29.0,,,Not-in-family,Male,
680-68-0680,82.0,,,Own-child,,<=50K
842-84-2842,21.0,Some-college,,Not-in-family,Female,
031-03-1031,23.0,,,,Male,
705-70-5705,25.0,Some-college,Married-civ-spouse,Husband,Male,
